component,explained_variance_ratio,cumulative_explained_variance
138,0.0020606364890782534,0.7905987016268644
139,0.0020558258394287967,0.7926545274662932
140,0.002040550878753933,0.794695078345047
141,0.0020016457858384575,0.7966967241308855
142,0.0019854611088775623,0.7986821852397631
143,0.0019808323726607565,0.8006630176124239
144,0.001970417529462992,0.8026334351418869
145,0.001965193265329448,0.8045986284072163
146,0.0019573815229518505,0.8065560099301682
147,0.001943607600058904,0.808499617530227
148,0.001916043878146349,0.8104156614083734
149,0.0019102552396650842,0.8123259166480384
150,0.0019039118854441458,0.8142298285334826
151,0.0018731359133919477,0.8161029644468746
152,0.0018551376144029866,0.8179581020612776
153,0.0018112251522151358,0.8197693272134927
154,0.0017836508857213842,0.8215529780992141
155,0.001774360267817974,0.8233273383670321
156,0.0017580745082017334,0.8250854128752338
